2025-02-09 14:31:46,533 [Worker-10] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Collecting project info '/pom.xml' C:\Users\KT\Desktop\WS-LPII-CL2\LPII_CL2_LEONALMERCODANIEL\pom.xml
2025-02-09 14:31:47,782 [Worker-10] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: maven.git.cl2:LPII_CL2_LEONALMERCODANIEL:0.0.1-SNAPSHOT @ C:\Users\KT\Desktop\WS-LPII-CL2\LPII_CL2_LEONALMERCODANIEL\pom.xml.
2025-02-09 14:31:48,720 [Worker-10] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /LPII_CL2_LEONALMERCODANIEL/src/main/java
2025-02-09 14:31:48,720 [Worker-10] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /LPII_CL2_LEONALMERCODANIEL/src/main/resources
2025-02-09 14:31:48,721 [Worker-10] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /LPII_CL2_LEONALMERCODANIEL/src/test/java
2025-02-09 14:31:50,145 [Worker-10] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 3 sec
2025-02-09 14:31:50,504 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 14:31:50,509 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2025-02-09 14:31:50,510 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 14:31:50,511 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\KT\Desktop\WS-LPII-CL2\LPII_CL2_LEONALMERCODANIEL\src\test\resources
2025-02-09 14:31:51,937 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 14:31:51,939 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2025-02-09 14:31:51,940 [Worker-10] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 14:31:51,941 [Worker-10] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\KT\Desktop\WS-LPII-CL2\LPII_CL2_LEONALMERCODANIEL\src\test\resources
2025-02-09 14:31:52,978 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 14:31:52,979 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2025-02-09 14:31:52,979 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 14:31:52,980 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\KT\Desktop\WS-LPII-CL2\LPII_CL2_LEONALMERCODANIEL\src\test\resources
2025-02-09 14:32:16,007 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 14:32:16,008 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2025-02-09 14:32:16,009 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 14:32:16,009 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\KT\Desktop\WS-LPII-CL2\LPII_CL2_LEONALMERCODANIEL\src\test\resources
2025-02-09 14:33:03,364 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 14:33:03,365 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2025-02-09 14:33:03,366 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 14:33:03,366 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\KT\Desktop\WS-LPII-CL2\LPII_CL2_LEONALMERCODANIEL\src\test\resources
2025-02-09 14:33:45,515 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 14:33:45,516 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2025-02-09 14:33:45,516 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 14:33:45,517 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\KT\Desktop\WS-LPII-CL2\LPII_CL2_LEONALMERCODANIEL\src\test\resources
2025-02-09 14:33:46,574 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 14:33:46,575 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2025-02-09 14:33:46,576 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2025-02-09 14:33:46,592 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\KT\Desktop\WS-LPII-CL2\LPII_CL2_LEONALMERCODANIEL\src\test\resources
2025-02-09 14:33:59,694 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
